lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
23.9912,-104.6749,constitucion,mx,55.99,48.0,5.0,8.99
48.8499,-54.0148,hare bay,ca,19.96,86.0,5.0,9.22
40.0,-2.0,cuenca,es,44.71,93.0,92.5,13.0
12.1791,125.5072,san policarpo,ph,81.84,78.0,67.5,12.26
14.1059,-15.5508,kaffrine,sn,71.6,15.0,5.0,4.61
15.1167,108.8,quang ngai,vn,75.99,68.0,18.0,3.94
0.0487,18.2603,mbandaka,cd,72.3,92.0,92.5,4.63
47.3779,18.2035,mor,hu,34.77,80.0,92.5,10.36
66.7131,27.4306,kemijarvi,fi,14.49,97.0,92.5,1.14
10.3997,-75.5144,cartagena,co,78.8,89.0,18.0,9.22
51.3223,42.7678,kamenka,ru,29.07,98.0,92.5,14.5
50.3643,108.7512,krasnyy chikoy,ru,7.66,89.0,92.5,7.85
25.4872,119.1986,jiangkou,cn,62.6,51.0,5.0,8.95
54.6892,25.2798,vilnius,lt,32.38,93.0,92.5,9.22
38.1361,39.4493,cermik,tr,15.8,86.0,5.0,6.91
